Viz,Source,Dimensionality,FormatofPC,Secondary,Layout,Layout Details,Orientation
pebbles,thumbs100png/Wetzel2003.png,2D,Contained,Loosely packed,Shape-based,Circle,
PedVis,thumbs100png/Tuttle2010.png,2D,Node-link,,Angle-based,,
Perspective Mapping of Tree Layouts,thumbs100png/Bowers1996.png,2D,Node-link,,Linear,H-tree layout,
PhylloTree,thumbs100png/Neumann2006.png,3D,Node-link,,Shape-based,Spiral,Left-right
PieTree,thumbs100png/Dix2000.png,2D,Adjacent,Adjacent to each other,Radial,,
PittaTree,thumbs100png/Song2010.png,2D,Node-link,,Linear,,
Planar Upward Tree Drawing,thumbs100png/Garg1996.png,2D,Node-link,,Linear,,Left-right
PLANET,thumbs100png/Huang2020.png,2D,Node-link,,Radial,,Top-down
Point-based Tree Visualization,thumbs100png/Schulz2009.png,2D,Node-link,,Balloon,,
Polar Treemap,thumbs100png/Johnson1993_1.png,2D,Adjacent,Adjacent to each other,Shape-based,Circle,
PolyPlane,thumbs100png/Hong2003.png,3D,Node-link,,Linear,,
Pretty-printed Trees,thumbs100png/Vaucher1980.png,2D,Node-link,,Linear,,Top-down
PygmyBrowser,thumbs100png/Band2006.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Pythagoras Tree,thumbs100png/Ernst1985.png,2D,Adjacent,Adjoined by a side,Angle-based,,
Quadratic Programming Layout,thumbs100png/Bohanec2007.png,2D,Node-link,,Linear,,
Quantum Treemap,thumbs100png/Bederson2001_1.png,2D,Contained,Loosely packed,Shape-based,Rectangle,Top-down
Radial Edgeless Tree,thumbs100png/Hao2007.png,2D,Adjacent,Adjoined by a side,Radial,,
Radial Phylogenetic Tree Layout,thumbs100png/Bachmaier2005_2.png,2D,Node-link,,Radial,,
Radial Tree in Bunches,thumbs100png/ArceOrozco2017.png,2D,Node-link,,Radial,,
Readable Layout,thumbs100png/Solo1986.png,2D,Node-link,,Linear,,
Reconfigurable Disc Tree,thumbs100png/Jeong1998.png,3D,Node-link,,Shape-based,Circle,Top-down
Rectangular Tesselation,thumbs100png/Ahuja1986_2.png,2D,Node-link,,Angle-based,,
Rectangular Tree Browser,thumbs100png/Song2011.png,3D,Node-link,,not enough information,,
Recursive Mixed Binary Tree Layout,thumbs100png/Bhattacharya1994.png,2D,Node-link,,Angle-based,,
Recursive Semicircles,thumbs100png/Bohnacker2012.png,2D,Node-link,,Linear,,
Reversed Radial Tree,thumbs100png/Dehouck2013.png,2D,Node-link,,Radial,,Top-down
Rhizome Navigation,thumbs100png/Rafelsberger2007.png,2D,Node-link,,not enough information,,
RINGS,thumbs100png/Teoh2002.png,2D,Node-link,,Balloon,,
Ripple Presentation,thumbs100png/Ishihara2006.png,2D,Node-link,,Balloon,,
Scaffold Tree,thumbs100png/Schuffenhauer2007.png,2D,Node-link,,Linear,,
Self-adapting Sunburst,thumbs100png/LiWei2013.png,2D,Adjacent,Adjoined by a side,Radial,,
Sequential Space-filling Layout,thumbs100png/Baudel2012.png,2D,Contained,,Shape-based,Rectangle,
ShamsehTree,thumbs100png/Etemad2009.png,2D,Adjacent,Adjacent to each other,Radial,,
Skeletal Image,thumbs100png/Herman1999.png,2D,Node-link,,Linear,,
Slice-and-Dice Statistical Diagram,thumbs100png/Gannett1903.png,2D,Contained,Tightly nested,Shape-based,Rectangle,Top-down
