lccparent,lccchild,lcccaption,dcchild,dccaption
LCC,D,"World History and History of Europe, Asia, Africa, Australia, New Zealand, etc.",na,na
D,DU,Oceania (South Seas),na,na
DU,DU 125,Australian aborigines,305.89915,Australian aborigines
DU,DU 125,Australian aborigines,994.0049915,Australian aborigines--History
DU,DU 145,Australian Capital Territory. Canberra,994.7,Australian Capital Territory
DU,DU 150-180,New South Wales,994.4,New South Wales--History
DU,DU 182-198,Tasmania. Van Diemen's Land,994.6,Tasmania--History
DU,DU 1-950,"Oceania (South Seas), History of",919 - 919.8,Oceania--Description & travel; Oceania--Geography
DU,DU 1-950,"Oceania (South Seas), History of",990 - 998,Islands of the Pacific
DU,DU 200-230,Victoria,994.5,Victoria
DU,DU 250-280,Queensland,994.3,Queensland
DU,DU 300-330,South Australia,994.23,South Australia
DU,DU 350-380,Western Australia,994.1,Western Australia
DU,DU 390,Central Australia,994.2,Central Australia
DU,DU 391,Northern Australia,994.29,Northern Australia
DU,DU 392-398,Northern Territory of Australia,994.29,Northern Territory
DU,DU 400-430,New Zealand,993,New Zealand
DU,DU 422.8-424,Maoris,305.899442,Maori (New Zealand people)
DU,DU 422.8-424,Maoris,993.0049944,Maori (New Zealand people)
DU,DU 490,Melanesia (General),919.5 - 919.509,Oceania--Description & travel; Oceania--Geography
DU,DU 490,Melanesia (General),995 - 995.009,Oceania--History
DU,DU 500,Micronesia (General),996.5,Pacific Islands (Trust Territory)
DU,DU 620-629,Hawaiian Islands. Hawaii,996.9,Hawaii
DU,DU 739-747,New Guinea,995 - 995.7,New Guinea
DU,DU 80-398,Australia,919.4,Australia--Description & travel
DU,DU 80-398,Australia,994,Australia
DU,DU 810-819,Samoan Islands,996.13,American Samoa
D,DX,Romanies,na,na
DX,DX 101-301,"Gypsies, History of",305.891497,Romanies--social aspects
DX,DX 101-301,"Gypsies, History of",909.0491497,Romanies
LCC,E,America,917.3,United States--description and travel
LCC,E,America,917-917.09,Geography of and travel in North America
LCC,E,America,970-970.05,General history of North America
LCC,E,America,973,United States
E,E 11-143,America,917-917.09,Geography of and travel in North America
E,E 11-143,America,970-970.05,General history of North America
E,E 31-49.2,North America,917-917.09,Geography of and travel in North America
E,E 31-49.2,North America,970-970.05,General history of North America
