dcchild,dccaption
621.1,Steam engineering
621.2,Hydraulic-power technology
621.4,"Engines, power plants, propulsion systems"
621.5,"Pneumatic, vacuum, low-temperature technologies"
621.6,"Blowers, fans, pumps"
621.8,Machine engineering
621.9,Tools
625.26,Locomotives
629.8,Automatic control engineering
681,Precision instruments & other devices
621.3,Electrical engineering
621.48,Nuclear engineering
629.1,Aerospace engineering
629.2,"Motor land vehicles, cycles"
629.3,"Air-cushion vehicles (Ground-effect machines, Hovercraft)"
629.4,Astronautics
622,Mining & related operations
669,Metallurgy
660,Chemical engineering
621.367,Technological photography & photo-optics
770,Photography & photographs
658.5,Management of production
664.7,"Grains, other seeds, their derived products"
664.9,Meats & allied foods
670,Manufacturing
681.1,"Instruments for measuring time, counting & calculating machines"
683,Hardware & household appliances
683.3,Locksmithing
683.4,Small firearms
684.1,Furniture
685,"Leather, fur goods, related products"
646.1,Sewing materials & equipment
646.2,Sewing & related operations
646.3,Clothing & accessories
646.4,Clothing & accessories construction
646.72,"Care of hair, face, skin"
745.5,Handicrafts
745.7,Decorative coloring
746,Textile arts
613.2,Dietetics
640,Home economics & family living
641,Food & drink
642,Meals & table service
643,Housing & household equipment
644,Household utilities
645,Household furnishings
646,"Sewing, clothing, personal living"
647,Management of public households
648,Housekeeping
355.02,War & warfare
355.1,Military life & customs
355.4,Military operations
355.5,Military training
